candidate_id,status,district,has_raised_funds,incumbent_challenge,name,office,party,committees,state
H2CA01110,P,01,True,Challenger,"AANESTAD, SAMUEL",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H2CA01110'], 'committee_id': 'C00513580', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'A', 'first_f1_date': '2012-02-22', 'first_file_date': '2012-02-22', 'last_f1_date': '2014-07-18', 'last_file_date': '2015-12-16', 'name': 'SAM AANESTAD FOR CONGRESS COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'treasurer_name': 'SAM AANESTAD'}]",CA
H2AZ02279,P,02,True,Challenger,"ABOUD, PAULA ANN",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H2AZ02279'], 'committee_id': 'C00514810', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2012-03-07', 'first_file_date': '2012-03-07', 'last_f1_date': '2012-03-07', 'last_file_date': '2013-05-13', 'name': 'PAULA ABOUD FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'AZ', 'treasurer_name': 'JEFFRY S DOBBINS'}]",AZ
H4NY07011,N,05,True,Challenger,"ACKERMAN, GARY L.",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H4NY07011'], 'committee_id': 'C00165241', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '1983-01-31', 'first_file_date': '1983-01-31', 'last_f1_date': '2009-08-17', 'last_file_date': '2017-08-21', 'name': 'COMMITTEE TO ELECT GARY L. ACKERMAN, INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'NY', 'treasurer_name': 'BARNETT, ROBERT'}]",NY
H2CA25176,P,25,True,Challenger,"ACOSTA, DANTE",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H2CA25176'], 'committee_id': 'C00517706', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'A', 'first_f1_date': '2012-03-29', 'first_file_date': '2012-03-29', 'last_f1_date': '2012-03-29', 'last_file_date': '2015-02-18', 'name': 'DANTE ACOSTA FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'treasurer_name': 'THOMAS CHRISTENSEN'}]",CA
H6FL11175,N,14,True,Challenger,"ADAMS, EDDIE JR",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H6FL11175'], 'committee_id': 'C00592923', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2015-11-30', 'first_file_date': '2015-11-30', 'last_f1_date': '2015-11-30', 'last_file_date': '2016-12-12', 'name': 'ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'FL', 'treasurer_name': 'ANTONIO CHASE'}, {'affiliated_committee_name': None, 'candidate_ids': ['H6FL11175'], 'committee_id': 'C00522797', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'A', 'first_f1_date': '2012-06-03', 'first_file_date': '2012-06-03', 'last_f1_date': '2012-06-03', 'last_file_date': '2013-04-08', 'name': 'ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'FL', 'treasurer_name': 'ELISABETH ORVOSH'}, {'affiliated_committee_name': 'NONE', 'candidate_ids': ['H6FL11175'], 'committee_id': 'C00467860', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2010, 2012], 'designation': 'A', 'designation_full': 'Authorized by a candidate', 'filing_frequency': 'T', 'first_f1_date': '2009-09-29', 'first_file_date': '2009-09-29', 'last_f1_date': '2010-05-25', 'last_file_date': '2011-05-25', 'name': 'ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'FL', 'treasurer_name': 'ROOKS, KAREN A'}, {'affiliated_committee_name': None, 'candidate_ids': ['H6FL11175'], 'committee_id': 'C00416388', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2006, 2008, 2010], 'designation': 'A', 'designation_full': 'Authorized by a candidate', 'filing_frequency': 'T', 'first_f1_date': '2005-11-01', 'first_file_date': '2005-11-01', 'last_f1_date': '2005-11-01', 'last_file_date': '2009-02-03', 'name': 'ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'FL', 'treasurer_name': 'NANCY H WATKINS'}]",FL
H0OH15099,N,15,True,Open seat,"ADAMS, JOHN",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H0OH15099'], 'committee_id': 'C00565721', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2014, 2016, 2018], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'A', 'first_f1_date': '2014-07-07', 'first_file_date': '2014-07-07', 'last_f1_date': '2014-09-08', 'last_file_date': '2018-08-15', 'name': 'JOHN ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'OH', 'treasurer_name': 'BETHANYANNE A AUSTIN'}, {'affiliated_committee_name': None, 'candidate_ids': ['H0OH15099'], 'committee_id': 'C00480590', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2010], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2010-04-09', 'first_file_date': '2010-04-09', 'last_f1_date': '2010-04-09', 'last_file_date': '2010-06-10', 'name': 'JOHN ADAMS 2010 CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'OH', 'treasurer_name': 'PAUL F WARREN'}]",OH
H2AZ06148,P,05,True,Open seat,"ADAMS, KIRK DAVID",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H2AZ06148'], 'committee_id': 'C00495986', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014, 2016, 2018, 2020], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2011-04-29', 'first_file_date': '2011-04-29', 'last_f1_date': '2013-05-09', 'last_file_date': '2019-08-29', 'name': 'KIRK ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AZ', 'treasurer_name': 'SYREK, WAYNE'}]",AZ
H0FL24049,P,06,True,Challenger,"ADAMS, SANDY",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H0FL24049'], 'committee_id': 'C00463877', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2010, 2012, 2014, 2016, 2018], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2009-07-10', 'first_file_date': '2009-07-10', 'last_f1_date': '2015-06-23', 'last_file_date': '2018-07-08', 'name': 'SANDY ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'FL', 'treasurer_name': 'WATKINS, NANCY H.'}]",FL
H2CA06275,P,02,True,Open seat,"ADAMS, SUSAN L",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H2CA06275'], 'committee_id': 'C00497222', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2011-05-31', 'first_file_date': '2011-05-31', 'last_f1_date': '2011-05-31', 'last_file_date': '2013-05-31', 'name': 'SUSAN ADAMS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'treasurer_name': 'TAMARA S HULL '}]",CA
S2TX00320,C,00,True,Open seat,"ADDISON, MARSHALL GLENN",Senate,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['S2TX00320'], 'committee_id': 'C00493346', 'committee_type': 'S', 'committee_type_full': 'Senate', 'cycles': [2012], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2011-02-15', 'first_file_date': '2011-02-15', 'last_f1_date': '2011-04-05', 'last_file_date': '2012-08-07', 'name': 'GLENN ADDISON SENATE CAMPAIGN', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'TX', 'treasurer_name': 'JOHN LAWRENCE LYNCH'}]",TX
