bill_id,year,date,bill_str,bill_desc,congno,sponsors,cosponsors,tw_latent1,tw_abortion_and_social_conservatism,tw_agriculture,tw_banking_and_finance,tw_civil_rights,tw_congress_and_procedural,tw_crime,tw_defense_and_foreign_policy,tw_economy,tw_education,tw_energy,tw_environment,tw_fair_elections,tw_federal_agencies_and_gov_regulation,tw_guns,tw_healthcare,tw_higher_education,tw_immigration,tw_indian_affairs,tw_intelligence_and_surveillance,tw_labor,tw_law_courts_and_judges,tw_transportation,tw_veterans_affairs,tw_womens_issues
113_hr83,2014,12/13/2014,"H.R. 83|On the Motion to Proceed H.R. 83|To require the Secretary of the Interior to assemble a team of technical, policy, and financial experts to address the energy needs of the insular areas of the United States and the Freely Associated States through the development of energy action plans aimed at promoting access to affordable, reliable energy, including increasing use of indigenous clean-energy resources, and for other purposes.","To require the Secretary of the Interior to assemble a team of technical, policy, and financial experts to address the energy needs of the insular areas of the United States and the Freely Associated States through the development of energy action plans aimed at promoting access to affordable, reliable energy, including increasing use of indigenous clean-energy resources, and for other purposes.",113,,,0.47178505,0,0,0,0.072641108,0.11068636,0.066193075,0.013234827,0.090017188,0.044912806,0.067933307,0.000781366,0,0.001993488,0,0,0,0,0,0,0,0,0,0,0
113_pn1070,2014,12/13/2014,"PN1070|On the Motion to Proceed PN1070|Christopher Smith, of Texas, to be an Assistant Secretary of Energy (Fossil Energy)","Christopher Smith, of Texas, to be an Assistant Secretary of Energy (Fossil Energy)",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1099,2014,12/13/2014,"PN1099|On the Motion to Proceed PN1099|Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance)","Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance)",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1160,2014,12/13/2014,"PN1160|On the Motion to Proceed PN1160|Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service, subject to qualifications therefor as provided by law and regulations, and to be Surgeon General of the Public Health Service for a term of four years","Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service, subject to qualifications therefor as provided by law and regulations, and to be Surgeon General of the Public Health Service for a term of four years",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1297,2014,12/13/2014,"PN1297|On the Motion to Proceed PN1297|John Charles Cruden, of Virginia, to be an Assistant Attorney General","John Charles Cruden, of Virginia, to be an Assistant Attorney General",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1345,2014,12/13/2014,"PN1345|On the Motion to Proceed PN1345|Stephen R. Bough, of Missouri, to be United States District Judge for the Western District of Missouri","Stephen R. Bough, of Missouri, to be United States District Judge for the Western District of Missouri",113,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113_pn1504,2014,12/13/2014,"PN1504|On the Motion to Proceed PN1504|Estevan R. Lopez, of New Mexico, to be Commissioner of Reclamation","Estevan R. Lopez, of New Mexico, to be Commissioner of Reclamation",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1561,2014,12/13/2014,"PN1561|On the Motion to Proceed PN1561|Jonathan Nicholas Stivers, of the District of Columbia, to be an Assistant Administrator of the United States Agency for International Development","Jonathan Nicholas Stivers, of the District of Columbia, to be an Assistant Administrator of the United States Agency for International Development",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1732,2014,12/13/2014,"PN1732|On the Motion to Proceed PN1732|Marcus Dwayne Jadotte, of Florida, to be an Assistant Secretary of Commerce","Marcus Dwayne Jadotte, of Florida, to be an Assistant Secretary of Commerce",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_pn1753,2014,12/13/2014,"PN1753|On the Motion to Proceed PN1753|Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board for a term expiring October 18, 2017","Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board for a term expiring October 18, 2017",113,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
