chamber,icpsr,district,state,party,name,congress_id,NOMINATE_dim1,NOMINATE_dim2
House,20300,1,AL,200,"BONNER, Jr., Josiah Robins (Jo)",B001244,0.367,0.513
House,20301,3,AL,200,"ROGERS, Mike Dennis",R000575,0.363,0.455
House,21102,7,AL,100,"SEWELL, Terri",S001185,-0.396,0.398
House,21192,2,AL,200,"ROBY, Martha",R000591,0.362,0.658
House,21193,5,AL,200,"BROOKS, Mo",B001274,0.652,-0.417
House,29301,6,AL,200,"BACHUS, Spencer T., III",B000013,0.387,0.228
House,29701,4,AL,200,"ADERHOLT, Robert",A000055,0.386,0.561
House,14066,1,AK,200,"YOUNG, Donald Edwin",Y000033,0.28300000000000003,0.022
House,20304,8,AZ,200,"FRANKS, Trent",F000448,0.749,0.08700000000000001
House,20305,3,AZ,100,"GRIJALVA, Raúl M.",G000551,-0.598,-0.256
House,20902,1,AZ,100,"KIRKPATRICK, Ann",K000368,-0.169,-0.01
House,21103,4,AZ,200,"GOSAR, Paul",G000565,0.6990000000000001,-0.486
House,21105,6,AZ,200,"SCHWEIKERT, David",S001183,0.5710000000000001,-0.281
House,21199,2,AZ,100,"BARBER, Ron",B001279,-0.123,0.001
House,21300,9,AZ,100,"SINEMA, Kyrsten",S001191,-0.105,0.076
House,29101,7,AZ,100,"PASTOR, Ed",P000099,-0.421,0.12
House,29500,5,AZ,200,"SALMON, Matthew James",S000018,0.673,-0.272
House,21106,1,AR,200,"CRAWFORD, Rick",C001087,0.445,0.40900000000000003
House,21107,2,AR,200,"GRIFFIN, Tim",G000567,0.41000000000000003,0.421
House,21108,3,AR,200,"WOMACK, Steve",W000809,0.352,0.582
House,21301,4,AR,200,"COTTON, Tom",C001095,0.599,0.154
House,14256,11,CA,100,"MILLER, George",M000725,-0.552,-0.398
House,14280,33,CA,100,"WAXMAN, Henry Arnold",W000215,-0.47300000000000003,-0.343
House,15448,12,CA,100,"PELOSI, Nancy",P000197,-0.49,-0.202
House,15621,48,CA,200,"ROHRABACHER, Dana",R000409,0.626,-0.417
House,20103,17,CA,100,"HONDA, Mike",H001034,-0.529,-0.482
House,20104,28,CA,100,"SCHIFF, Adam",S001150,-0.35000000000000003,-0.134
House,20107,49,CA,200,"ISSA, Darrell",I000056,0.49,-0.021
House,20108,53,CA,100,"DAVIS, Susan A.",D000598,-0.343,-0.10300000000000001
House,20307,22,CA,200,"NUNES, Devin",N000181,0.45,0.223
House,20310,38,CA,100,"SÁNCHEZ, Linda T.",S001156,-0.508,-0.139
House,20501,16,CA,100,"COSTA, Jim",C001059,-0.195,0.457
House,20538,6,CA,100,"MATSUI, Doris",M001163,-0.435,-0.152
House,20539,45,CA,200,"CAMPBELL, John (of California)",C001064,0.748,-0.41500000000000004
House,20702,9,CA,100,"McNERNEY, Jerry",M001166,-0.263,-0.159
House,20703,23,CA,200,"MCCARTHY, Kevin",M001165,0.456,0.222
House,20762,14,CA,100,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,-0.381,-0.41000000000000003
House,20903,4,CA,200,"McCLINTOCK, Tom",M001177,0.687,-0.399
House,20955,27,CA,100,"CHU, Judy",C001080,-0.488,-0.374
House,20958,3,CA,100,"GARAMENDI, John",G000559,-0.309,-0.095
House,20963,50,CA,200,"HUNTER, Duncan Duane",H001048,0.539,0.085
House,21109,10,CA,200,"DENHAM, Jeff",D000612,0.306,0.212
House,21110,37,CA,100,"BASS, Karen",B001270,-0.584,-0.098
House,21195,44,CA,100,"HAHN, Janice",H001063,-0.39,-0.376
House,21302,1,CA,200,"LaMALFA, Doug",L000578,0.534,0.04
House,21303,2,CA,100,"HUFFMAN, Jared",H001068,-0.43,-0.558
House,21304,7,CA,100,"BERA, Ami",B001287,-0.23800000000000002,0.013000000000000001
House,21305,8,CA,200,"COOK, Paul",C001094,0.372,0.20800000000000002
House,21306,15,CA,100,"SWALWELL, Eric",S001193,-0.362,-0.083
House,21307,21,CA,200,"VALADAO, David G.",V000129,0.267,0.386
House,21308,26,CA,100,"BROWNLEY, Julia",B001285,-0.291,0.049
House,21309,29,CA,100,"CÁRDENAS, Tony",C001097,-0.39,0.005
House,21310,35,CA,100,"NEGRETE McLEOD, Gloria",N000187,-0.437,0.035
House,21311,36,CA,100,"RUIZ, Raul",R000599,-0.249,0.05
House,21312,41,CA,100,"TAKANO, Mark",T000472,-0.464,-0.273
House,21313,47,CA,100,"LOWENTHAL, Alan",L000579,-0.449,-0.384
House,21314,51,CA,100,"VARGAS, Juan",V000130,-0.403,0.06
House,21315,52,CA,100,"PETERS, Scott",P000608,-0.186,-0.032
House,29106,43,CA,100,"WATERS, Maxine",W000187,-0.656,-0.075
House,29312,18,CA,100,"ESHOO, Anna Georges",E000215,-0.38,-0.404
House,29313,20,CA,100,"FARR, Sam",F000030,-0.455,-0.219
House,29315,25,CA,200,"McKEON, Howard P. (Buck)",M000508,0.396,0.20800000000000002
House,29316,34,CA,100,"BECERRA, Xavier",B000287,-0.512,-0.28300000000000003
House,29317,40,CA,100,"ROYBAL-ALLARD, Lucille",R000486,-0.46900000000000003,-0.171
House,29321,39,CA,200,"ROYCE, Edward Randall",R000487,0.657,-0.353
House,29323,42,CA,200,"CALVERT, Ken",C000059,0.34900000000000003,0.232
House,29504,19,CA,100,"LOFGREN, Zoe",L000397,-0.4,-0.428
House,29707,30,CA,100,"SHERMAN, Brad",S000344,-0.34400000000000003,-0.14400000000000002
House,29709,46,CA,100,"SANCHEZ, Loretta",S000030,-0.367,0.025
House,29774,24,CA,100,"CAPPS, Lois",C001036,-0.389,-0.227
House,29778,13,CA,100,"LEE, Barbara",L000551,-0.677,-0.5720000000000001
House,29901,5,CA,100,"THOMPSON, Michael",T000460,-0.393,0.069
House,29903,32,CA,100,"NAPOLITANO, Grace Flores",N000179,-0.448,-0.246
House,29905,31,CA,200,"MILLER, Gary G.",M001139,0.47800000000000004,0.222
House,20704,5,CO,200,"LAMBORN, Doug",L000564,0.666,0.23800000000000002
House,20705,7,CO,100,"PERLMUTTER, Ed",P000593,-0.28200000000000003,0.07200000000000001
House,20904,2,CO,100,"POLIS, Jared",P000598,-0.278,-0.6920000000000001
House,20906,6,CO,200,"COFFMAN, Mike",C001077,0.492,-0.213
House,21111,3,CO,200,"TIPTON, Scott",T000470,0.451,-0.023
House,21112,4,CO,200,"GARDNER, Cory",G000562,0.444,-0.029
