chamber,rollnumber,date,session,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,bill_number,vote_result,vote_desc,vote_question,issue_codes,peltzman_codes,clausen_codes,crs_policy_area,crs_subjects,congress_url
House,1,2013-01-03,1,220,192,0.061,0.358,-0.747,0.28800000000000003,,Boehner,,Election of the Speaker,['Election of the Speaker of the House'],['Internal Organization'],['Miscellaneous Policy'],,,
House,2,2013-01-03,1,224,187,0.056,0.197,-0.732,0.309,hres5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Motion to Table the Motion to Refer,,['Internal Organization'],['Miscellaneous Policy'],Congress,"['Administrative law and regulatory procedures', 'Advisory bodies', 'Appropriations', 'Budget process', 'Civil actions and liability', 'Congressional committees', 'Congressional operations and organization', 'Congressional oversight', 'Constitution and constitutional amendments', 'Department of Justice', 'Federal officials', 'Government ethics and transparency, public corruption', 'House Committee on Armed Services', 'House Committee on Foreign Affairs', 'House Committee on Oversight and Government Reform', 'House Committee on Standards of Official Conduct', 'House Committee on Transportation and Infrastructure', 'House of Representatives', 'Human rights', 'Legislative rules and procedure', 'Marriage and family status', 'Medicare', 'Members of Congress', 'Sex, gender, sexual orientation discrimination', 'Sports and recreation facilities']",https://www.congress.gov/bill/113th-congress/house-resolution/5
House,3,2013-01-03,1,227,191,0.155,0.562,-0.724,0.438,hres5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Ordering the Previous Question,,['Internal Organization'],['Miscellaneous Policy'],Congress,"['Administrative law and regulatory procedures', 'Advisory bodies', 'Appropriations', 'Budget process', 'Civil actions and liability', 'Congressional committees', 'Congressional operations and organization', 'Congressional oversight', 'Constitution and constitutional amendments', 'Department of Justice', 'Federal officials', 'Government ethics and transparency, public corruption', 'House Committee on Armed Services', 'House Committee on Foreign Affairs', 'House Committee on Oversight and Government Reform', 'House Committee on Standards of Official Conduct', 'House Committee on Transportation and Infrastructure', 'House of Representatives', 'Human rights', 'Legislative rules and procedure', 'Marriage and family status', 'Medicare', 'Members of Congress', 'Sex, gender, sexual orientation discrimination', 'Sports and recreation facilities']",https://www.congress.gov/bill/113th-congress/house-resolution/5
House,4,2013-01-03,1,194,229,0.135,0.976,0.771,-0.249,hres5,Failed,Adopting rules for the One Hundred Thirteenth Congress,On Motion to Commit,,['Internal Organization'],['Miscellaneous Policy'],Congress,"['Administrative law and regulatory procedures', 'Advisory bodies', 'Appropriations', 'Budget process', 'Civil actions and liability', 'Congressional committees', 'Congressional operations and organization', 'Congressional oversight', 'Constitution and constitutional amendments', 'Department of Justice', 'Federal officials', 'Government ethics and transparency, public corruption', 'House Committee on Armed Services', 'House Committee on Foreign Affairs', 'House Committee on Oversight and Government Reform', 'House Committee on Standards of Official Conduct', 'House Committee on Transportation and Infrastructure', 'House of Representatives', 'Human rights', 'Legislative rules and procedure', 'Marriage and family status', 'Medicare', 'Members of Congress', 'Sex, gender, sexual orientation discrimination', 'Sports and recreation facilities']",https://www.congress.gov/bill/113th-congress/house-resolution/5
House,5,2013-01-03,1,228,196,0.168,0.6950000000000001,-0.721,0.461,hres5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Agreeing to the Resolution,,['Internal Organization'],['Miscellaneous Policy'],Congress,"['Administrative law and regulatory procedures', 'Advisory bodies', 'Appropriations', 'Budget process', 'Civil actions and liability', 'Congressional committees', 'Congressional operations and organization', 'Congressional oversight', 'Constitution and constitutional amendments', 'Department of Justice', 'Federal officials', 'Government ethics and transparency, public corruption', 'House Committee on Armed Services', 'House Committee on Foreign Affairs', 'House Committee on Oversight and Government Reform', 'House Committee on Standards of Official Conduct', 'House Committee on Transportation and Infrastructure', 'House of Representatives', 'Human rights', 'Legislative rules and procedure', 'Marriage and family status', 'Medicare', 'Members of Congress', 'Sex, gender, sexual orientation discrimination', 'Sports and recreation facilities']",https://www.congress.gov/bill/113th-congress/house-resolution/5
House,6,2013-01-04,1,354,67,0.586,-0.254,1.333,-0.592,hr41,Passed,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program,On Motion to Suspend the Rules and Pass,['Public Safety'],['Budget Special Interest'],['Government Management'],Emergency Management,"['Budget process', 'Department of Homeland Security', 'Disaster relief and insurance', 'Executive agency funding and structure', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection']",https://www.congress.gov/bill/113th-congress/house-bill/41
House,7,2013-01-14,1,403,0,0.0,0.0,0.0,0.0,hr219,Passed,"To improve and streamline disaster assistance for Hurricane Sandy, and for other purposes",On Motion to Suspend the Rules and Pass,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Alternative dispute resolution, mediation, arbitration', 'Child care and development', 'Disaster relief and insurance', 'Emergency planning and evacuation', 'Environmental assessment, monitoring, research', 'Government employee pay, benefits, personnel management', 'Historic sites and heritage areas', 'Homelessness and emergency shelter', 'Housing and community development funding', 'Indian social and development programs', 'Inflation and prices', 'Natural disasters', 'Solid waste and recycling', 'Wages and earnings']",https://www.congress.gov/bill/113th-congress/house-bill/219
House,8,2013-01-14,1,300,95,0.776,-0.423,0.067,-0.114,,Passed,,On Approving the Journal,,['Internal Organization'],['Miscellaneous Policy'],,,
House,9,2013-01-14,1,4,397,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,,['Internal Organization'],['Miscellaneous Policy'],,,
House,10,2013-01-15,1,293,127,-0.277,0.186,-0.21,0.13,hres23,Passed,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Ordering the Previous Question,,['Budget Special Interest'],['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/23
