affiliated_org,candidate_id,committee_id,committee_type,designation,name,org_type
GULF COAST VICTORY FUND,H2AL01077,C00375220,H,P,JO BONNER FOR CONGRESS COMMITTEE,
NONE,H2AL03032,C00367862,H,P,MIKE ROGERS FOR CONGRESS,
NONE,H0AL07086,C00458976,H,P,TERRI SEWELL FOR CONGRESS,
TEAM ROBY VICTORY FUND,H0AL02087,C00462143,H,P,MARTHA ROBY FOR CONGRESS,
,H2AL06035,C00260547,H,P,BACHUS FOR CONGRESS COMMITTEE,
ADERHOLT MAJORITY FUND,H6AL04098,C00313247,H,P,ROBERT ADERHOLT FOR CONGRESS,
TAKE BACK THE HOUSE 2020,H6AK00045,C00012229,H,P,ALASKANS FOR DON YOUNG,
NONE,H4AZ04024,C00367110,H,P,COMMITTEE TO RE-ELECT TRENT FRANKS TO CONGRESS,
,H4AZ04024,C00281568,H,P,COMMITTEE TO ELECT TRENT FRANKS TO CONGRESS,
NONE,H2AZ07070,C00374058,H,P,A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,
NONE,H8AZ01104,C00651042,Q,U,MOMS FED UP,
COPPER STATE MAJORITY FUND,H8AZ01104,C00437293,H,P,KIRKPATRICK FOR ARIZONA,
PROTECTING AMERICA UNDER LAW PAC,H0AZ01259,C00461806,H,P,GOSAR FOR CONGRESS,
SCHWEIKERT VICTORY COMMITTEE,H4AZ06045,C00540617,H,P,FRIENDS OF DAVID SCHWEIKERT,
NONE,H4AZ06045,C00492413,H,A,SCHWEIKERT FOR CONGRESS,
FRIENDS OF DAVID SCHWEIKERT,H4AZ06045,C00440727,H,A,DAVID SCHWEIKERT FOR CONGRESS,
,H4AZ06045,C00287672,H,P,ARIZONANS FOR DAVID SCHWEIKERT,
BARBER-VICTORY FUND,H2AZ08094,C00512129,H,P,RON BARBER FOR CONGRESS,
NONE,H2AZ02055,C00251918,H,P,PASTOR FOR ARIZONA,
SAFEGUARDING AMERICAN LIBERTIES MORALS & OPPORTUNITIES NOW (SALMON) PAC,H4AZ01038,C00495630,H,D,ARIZONA SUNRISE PAC,
,H4AZ01038,C00287771,H,P,FRIENDS OF MATT SALMON,
TRANSPORTATION TRUST FUND,H0AR01083,C00462374,H,P,CRAWFORD FOR CONGRESS,
