candidate_id,status,district,has_raised_funds,incumbent_challenge,name,office,party,committees,state
H2CO07170,P,07,True,Open seat,"AADLAND, ERIK",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H2CO07170', 'S2CO00175'], 'committee_id': 'C00781492', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2021-06-04', 'first_file_date': '2021-06-04', 'last_f1_date': '2022-08-15', 'last_file_date': '2023-07-15', 'name': 'AADLAND FOR COLORADO', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CO', 'treasurer_name': 'BJORKLUND, TOM'}]",CO
H2UT03280,C,03,True,Challenger,"AALDERS, TIM",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H2UT03280'], 'committee_id': 'C00809996', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2022], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2022-03-21', 'first_file_date': '2022-03-21', 'last_f1_date': '2022-03-21', 'last_file_date': '2022-07-22', 'name': 'TIM AALDERS FOR CONGRESS COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'UT', 'treasurer_name': 'DATWYLER, THOMAS'}]",UT
H0TX22260,C,22,True,Open seat,"AALOORI, BANGAR REDDY",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H0TX22260'], 'committee_id': 'C00723460', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2020], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2019-10-17', 'first_file_date': '2019-10-17', 'last_f1_date': '2019-10-17', 'last_file_date': '2020-07-15', 'name': 'BANGAR REDDY FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'TX', 'treasurer_name': 'GUENLEY, JUSTIN'}]",TX
H6PA16106,P,16,True,,"AAMODT, NORMAN O.",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H6PA16106'], 'committee_id': 'C00090498', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [1978, 1980], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '1978-03-22', 'first_file_date': '1978-03-22', 'last_f1_date': '1978-06-13', 'last_file_date': '1979-04-06', 'name': 'AAMODT FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'PA', 'treasurer_name': 'CHARLES SHUMARD'}]",PA
H2CA01110,P,01,True,Challenger,"AANESTAD, SAMUEL",House,REPUBLICAN PARTY,"[{'affiliated_committee_name': None, 'candidate_ids': ['H2CA01110'], 'committee_id': 'C00513580', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2012, 2014, 2016], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'A', 'first_f1_date': '2012-02-22', 'first_file_date': '2012-02-22', 'last_f1_date': '2014-07-18', 'last_file_date': '2015-12-16', 'name': 'SAM AANESTAD FOR CONGRESS COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'treasurer_name': 'SAM AANESTAD'}]",CA
H8CO06237,C,06,True,Challenger,"AARESTAD, DAVID",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H8CO06237'], 'committee_id': 'C00637678', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2018], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2017-04-14', 'first_file_date': '2017-04-14', 'last_f1_date': '2017-09-01', 'last_file_date': '2019-01-30', 'name': 'COLORADANS FOR AARESTAD', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CO', 'treasurer_name': 'PHILLIPS, JOHN'}]",CO
H8CA18053,N,18,False,Challenger,"AAROE, KEN",House,LIBERTARIAN PARTY,[],CA
H0FL21102,N,21,False,Challenger,"AARONS, ADAM",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H0FL21102'], 'committee_id': 'C00728949', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2020], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2019-11-27', 'first_file_date': '2019-11-27', 'last_f1_date': '2019-11-27', 'last_file_date': '2020-02-13', 'name': 'ADAM AARONS FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'FL', 'treasurer_name': 'AARONS-KRAVETZKY, ELANIT'}]",FL
H4OR05312,N,05,False,Challenger,"AASEN, ANDREW J",House,NON-PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H4OR05312'], 'committee_id': 'C00846311', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-07-24', 'first_file_date': '2023-07-24', 'last_f1_date': '2023-07-24', 'last_file_date': '2023-07-24', 'name': 'ANDREW AASEN FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'NON', 'party_full': 'NON-PARTY', 'state': 'OR', 'treasurer_name': 'AASEN, ANDREW J'}]",OR
H2CA30291,N,32,True,Challenger,"AAZAMI, SHERVIN",House,DEMOCRATIC PARTY,"[{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H2CA30291'], 'committee_id': 'C00766634', 'committee_type': 'H', 'committee_type_full': 'House', 'cycles': [2020, 2022, 2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'T', 'first_f1_date': '2021-01-16', 'first_file_date': '2021-01-16', 'last_f1_date': '2022-07-15', 'last_file_date': '2023-07-19', 'name': 'SHERVIN AAZAMI FOR CONGRESS', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'CA', 'treasurer_name': 'AAZAMI, SHERVIN'}]",CA
