affiliated_committee_name,candidate_ids,committee_id,committee_type,designation_type,name,organization_type,state,topic_weight,summary
,[],C00408286,Party - Nonqualified,Unauthorized,10TH CONGRESSIONAL DISTRICT DEMOCRATIC COMM,,MI,,
,[],C00486647,PAC - Nonqualified,Unauthorized,10TH CONSTITUTION PAC,,MA,,
REPUBLICAN PARTY OF VIRGINIA INC,['H6VA10134'],C00005462,Party - Qualified,Unauthorized,10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE,,VA,,
,[],C90013426,Independent expenditure filer (not a committee),Unauthorized,1199SEIU UNITED HEALTHCARE WORKERS EAST,,NY,tw_labor,Labor Unions
1199 SEIU UNITED HEALTHCARE WORKERS EAST,[],C00348540,PAC - Qualified,Unauthorized,1199 SEIU UNITED HEALTHCARE WORKERS EAST FEDERAL POLITICAL ACTION FUND,Labor Organization,NY,tw_labor,Labor Unions
1199 SEIU UNITED HEALTHCARE WORKERS EAST,[],C00344531,PAC - Qualified,Unauthorized,1199 SEIU UNITED HEALTHCARE WORKERS EAST HOME CARE POLITICAL ACTION FUND,Labor Organization,NY,tw_labor,Labor Unions
NONE,[],C00538975,Party - Qualified,Unauthorized,11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL,,VA,,
REPUBLICAN PARTY OF VIRGINIA INC,[],C00273755,Party - Qualified,Unauthorized,11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL,,VA,,
NONE,[],C00165142,Party - Qualified,Unauthorized,11TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY,,NC,,
JOHN HEDDENS KINGSTON,[],C00381384,PAC - Qualified,Leadership PAC,13TH COLONY LEADERSHIP COMMITTEE INC,,GA,,
NONE,[],C00523274,Party - Nonqualified,Unauthorized,13TH CONG DIST REPUBLICAN PARTY,,NC,,
,[],C00362772,Party - Qualified,Unauthorized,13TH CONGRESSIONAL DISTRICT DEMOCRATIC ORGANIZATION,,MI,,
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE/FED ACCT,[],C00385666,Party - Nonqualified,Unauthorized,15TH CONGRESSIONAL DEMOCRATIC DISTRICT,,MI,,
NONE,[],C00430785,PAC - Nonqualified,Unauthorized,16TH AD DEMOCRATS,,CA,,
NONE,[],C00463232,PAC - Nonqualified,Unauthorized,1776 POLITICAL ACTION COMMITTEE (1776 PAC) 1776 CHALLENGE,,TX,,
NONE,[],C00487132,PAC - Nonqualified,Unauthorized,1789 PROJECT POLITICAL ACTION COMMITTEE,,VA,,
NONE,[],C00492827,PAC - Nonqualified,Unauthorized,1816 GROUP; THE,,IN,,
NONE,[],C00523001,Super PAC (Independent Expenditure-Only),Unauthorized,18-24,,MD,,
ILLINOIS REPUBLICAN PARTY,[],C00493460,Party - Qualified,Unauthorized,18TH DISTRICT REPUBLICAN CENTRAL COMMIITTEE (FEDERAL ACCOUNT),,IL,,
NONE,[],C00508200,Super PAC (Independent Expenditure-Only),Unauthorized,1911 UNITED,,DC,,
LUGAR,[],C00498709,PAC - Qualified,Leadership PAC,19TH STAR PAC INC; THE,,IN,,
BINNIE,[],C00485920,PAC - Nonqualified,Leadership PAC,1ST IN THE NATION POLITICAL ACTION COMMITTEE,,DC,,
1ST SOURCE CORPORATION,[],C00181529,PAC - Qualified,Unauthorized,1ST SOURCE CORPORATION POLITICAL ACTION COMMITTEE,Corporation,IN,,
NONE,['H4CA26097'],C00393660,House,Principal campaign committee,2006 COMMITTEE TO ELECT CYNTHIA RODRIGUEZ MATTHEWS TO 26TH CONGRESSIONAL DISTRICT,,CA,,
IN REP ST CMTE,['S0IN00053'],C00487223,PAC - Nonqualified,Joint fundraising committee,2010 INDIANA REPUBLICAN SENATE VICTORY COMMITTEE; THE,,IN,,
MARTIN OBST/NRCC/IN REP ST CMTE,[],C00489757,PAC - Nonqualified,Joint fundraising committee,2010 INDIANA REPUBLICAN VICTORY FUND,,IN,,
NONE,[],C00490003,Super PAC (Independent Expenditure-Only),Unauthorized,2010 LEADERSHIP COUNCIL,,KY,,
NONE,[],C00480160,PAC - Nonqualified,Unauthorized,2010 TEA PARTY USA POLITICAL ACTION COMMITTEE,,ND,,
PENNSYLVANIA DEMOCRATIC PARTY,[],C00518332,Party - Nonqualified,Unauthorized,2012 ACDC FEDERAL CAMPAIGN COMMITTEE,,PA,,
ALLEGHENY COUNTY DEMOCRATIC COMMITTEE,[],C00516492,Party - Nonqualified,Unauthorized,2012 ACDC PRIMARY CAMPAIGN COMMITTEE,,PA,,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,[],C00500405,Party - Nonqualified,Unauthorized,2012 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC,,DC,,
NONE,[],C00456020,Super PAC (Independent Expenditure-Only),Lobbyist/Registrant PAC,2012 DEMOCRATIC PRESIDENTIAL CONVENTION FUND SUPER PAC,,FL,,
NONE,"['H6OH04082', 'H8OH05036']",C00528091,House,Joint fundraising committee,2012 JORDAN-LATTA-VICTORY COMMITTEE,,OH,,
NEW YORK DEM STATE CMTE,['H6NY25125'],C00532879,PAC - Nonqualified,Joint fundraising committee,2012 NEW YORK VICTORY FUND,,DC,,
NONE,[],C00456574,Super PAC (Independent Expenditure-Only),Lobbyist/Registrant PAC,2012 REPUBLICAN PRESIDENTIAL CONVENTION FUND SUPER PAC,,FL,,
NONE,[],C00483586,Party - Nonqualified,Unauthorized,2012 TAMPA BAY HOST COMMITTEE INC,,FL,,
,[],C90010794,Independent expenditure filer (not a committee),Unauthorized,2020 ACTION FUND INC,,MA,,
NONE,[],C00230342,PAC - Nonqualified,Unauthorized,21 CENTURY DEMOCRATS,,DC,,
NONE,['H8NJ13064'],C00355792,PAC - Nonqualified,Unauthorized,21ST CENTURY LEADERSHIP PAC,,TX,,
ISAKSON VICTORY COMMITTEE,[],C00361956,PAC - Qualified,Leadership PAC,21ST CENTURY MAJORITY FUND,,GA,,
MCKEON,[],C00315747,PAC - Qualified,Leadership PAC,21ST CENTURY PAC,,VA,,
,[],C00491027,PAC - Nonqualified,Unauthorized,21ST CENTURY PROGRESS PAC,,AR,,
NONE,[],C00520114,PAC - Nonqualified,Unauthorized,21ST WARD DELEGATE CAMPAIGN COMMITTEE,,PA,,
,[],C00496604,PAC - Nonqualified,Unauthorized,28TH AMENDMENT THEMISTOCLES; THE,Corporation,WA,,
3M COMPANY,[],C00084475,PAC - Qualified,Lobbyist/Registrant PAC,3M COMPANY PAC,Corporation,MN,,
HEATH SHULER FOR CONGRESS,[],C00448563,PAC - Qualified,Leadership PAC,3RD AND LONG PAC,,NC,,
DEMOCRATIC PARTY OF WISCONSIN,[],C00009456,Party - Qualified,Unauthorized,3RD CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN,,WI,,
NICK J. RAHALL II,[],C00416552,PAC - Nonqualified,Leadership PAC,3T PAC,,WV,,
NONE,[],C00528430,PAC - Nonqualified,Unauthorized,401 (K) AMERICA PAC,,GA,,
NONE,[],C00497685,PAC - Nonqualified,Unauthorized,40 IN 4 OR FIGHT,,NV,,
