icpsr,district,state,party,NOMINATE_dim1,NOMINATE_dim2,candidate_id,name,ici,ttl_receipts,comm_receipts,ttl_disb,comm_disb,start_cash,end_cash,cand_contrib,cand_loans,ind_contrib,district,state,other_comm_contrib,pty_contrib
20300,1,AL,200,0.367,0.513,H2AL01077,"bonner, josiah robias",I,1140566.63,42871.65,1263168.28,0.0,279810.87,157209.22,0.0,0.0,564463.0,AL,1,523034.4,0.0
20301,3,AL,200,0.363,0.455,H2AL03032,"rogers, michael dennis",I,1069891.19,0.0,982102.34,270000.0,204259.44,292048.29,0.0,0.0,474560.95,AL,3,588500.0,2700.0
21102,7,AL,100,-0.396,0.398,H0AL07086,"sewell, terrycina andrea",I,1205399.57,950.0,863803.98,125000.0,36018.28,377613.87,0.0,0.0,504236.47,AL,7,695969.43,1000.0
21192,2,AL,200,0.362,0.658,H0AL02087,"roby, martha",I,1035717.36,32921.59,862502.48,0.0,13281.47,186496.35,0.0,0.0,480059.23,AL,2,522182.68,0.0
21193,5,AL,200,0.652,-0.417,H0AL05163,"brooks, mo",I,904753.18,14673.52,455514.82,0.0,50420.23,499658.59,0.0,0.0,426014.35,AL,5,459948.35,2500.0
29301,6,AL,200,0.387,0.228,H2AL06035,"bachus, spencer t iii",I,2725003.77,0.0,2904500.84,0.0,439959.36,260462.29,0.0,0.0,1128152.4,AL,6,1485107.9,0.0
29701,4,AL,200,0.386,0.561,H6AL04098,"aderholt, robert brown",I,1247169.37,0.0,1140896.88,0.0,46609.33,152881.82,0.0,0.0,534734.58,AL,4,611000.0,0.0
14066,0,AK,200,0.283,0.022,H6AK00045,"young, donald e",I,1003531.63,0.0,665974.39,0.0,170742.22,508299.46,0.0,0.0,624494.86,AK,0,374040.13,477.2
20304,8,AZ,200,0.749,0.087,H4AZ04024,"franks, trent",I,378998.03,0.0,399105.03,0.0,15657.54,-4450.06,0.0,2000.0,176256.75,AZ,8,195578.94,0.0
20305,3,AZ,100,-0.598,-0.256,H2AZ07070,"grijalva, raul m",I,908543.77,0.0,930949.81,0.0,30271.77,7865.73,0.0,0.0,572022.71,AZ,3,325477.97,5.38
20902,1,AZ,100,-0.169,-0.01,H8AZ01104,"kirkpatrick, ann",C,2363587.45,14384.75,2369726.45,20400.0,13896.86,7757.86,0.0,0.0,1744948.48,AZ,1,562862.32,20350.28
21103,4,AZ,200,0.699,-0.486,H0AZ01259,"gosar, paul anthony",I,1150701.15,15236.88,1126649.26,0.0,739.51,24791.4,0.0,0.0,690418.83,AZ,4,425522.54,1154.34
21105,6,AZ,200,0.571,-0.281,H4AZ06045,"schweikert, david",I,1982869.87,23873.31,1969383.28,0.0,16083.33,29569.92,3500.0,230000.0,939081.81,AZ,6,784814.0,0.0
21199,2,AZ,100,-0.123,0.001,H2AZ08094,"barber, ronald",O,2776638.85,0.0,2690570.19,0.0,0.0,86068.66,0.0,0.0,1790921.28,AZ,2,890116.2,14790.09
21300,9,AZ,100,-0.105,0.076,H2AZ09019,"sinema, kyrsten",C,2167384.11,12565.54,2118460.84,0.0,0.0,48923.27,0.0,0.0,1717911.27,AZ,9,371319.44,6498.83
