committee_id,committee_name,count,recipient_id,recipient_name,total
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),1,C00348540,1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND,125000.0
C00348540,1199 SEIU UNITED HEALTHCARE WORKERS EAST FEDERAL POLITICAL ACTION FUND,1,C00344531,1199 32BJ/144 SERVICE EMPLOYEES INTERNATIONAL UNION HOME CARE POLITICAL ACTION FUND,3546.0
C00330720,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,1,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,1000.0
C00432401,BEN NELSON 2012,3,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,7000.0
C00467233,FISCAL RESPONSIBILITY PAC,1,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,500.0
C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,1,C00536573,ABBVIE PAC,235400.0
C00494294,SCOTT BROWN VICTORY COMMITTEE,1,C00426445,ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),4350.0
C00491985,CAJUN POLITICAL ACTION COMMITTEE (CAJUNPAC),1,C00335570,"ACADIAN AMBULANCE SERVICE, INC. EMPLOYEE PAC",2500.0
C00432401,BEN NELSON 2012,1,C00300707,ACCENTURE INC. POLITICAL ACTION COMMITTEE,1500.0
C00458463,PORTMAN FOR SENATE COMMITTEE,1,C00034785,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE,2500.0
C00304758,MISSOURI FRB PAC,1,C00034785,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE,2000.0
C00002972,THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (AMERICA'S ELECTRIC COOPERATIVES PAC),7,C00008169,ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE),39327.0
C00410183,"DEMOCRACY FOR NYC, INC.",2,C00422485,ACT NOW PAC INC,545.0
C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,1,C00508929,ADIRONDACK JOBS PAC,2500.0
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,1,C00508929,ADIRONDACK JOBS PAC,5000.0
C00012476,UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA),1,C00508929,ADIRONDACK JOBS PAC,5000.0
C00027342,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE,1,C00508929,ADIRONDACK JOBS PAC,5000.0
C00492231,FRIENDS OF MIKE H,1,C00213231,"A DUDA & SONS, INC. POLITICAL ACTION COMMITTEE",2500.0
C00332833,CARDINAL HEALTH INC. PAC,1,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,5000.0
