candidate_id,candidate_name,committee_id,committee_name,count,cycle,support_oppose_indicator,total
H2AL01077,"BONNER, JOSIAH ROBIAS",C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,13,2012,O,123679.84
H0AL02087,"ROBY, MARTHA",C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,3,2012,O,11676.41
H0AL02087,"ROBY, MARTHA",C00332296,SUSAN B ANTHONY LIST INC. CANDIDATE FUND,4,2012,S,324.71
H0AL02087,"ROBY, MARTHA",C90011313,SUSAN B ANTHONY LIST INC,2,2012,S,50.92
H2AL06035,"BACHUS, SPENCER T III",C00007880,CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,2,2012,S,27771.0
H2AL06035,"BACHUS, SPENCER T III",C00496505,CONSERVATIVE ACTION FUND,1,2012,O,26828.5
H2AL06035,"BACHUS, SPENCER T III",C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,19,2012,O,203109.16
H2AL06035,"BACHUS, SPENCER T III",C00512038,CONSERVATIVES FOR FREEDOM PAC,3,2012,S,31500.0
H4AZ04024,"FRANKS, TRENT",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,1.54
H4AZ04024,"FRANKS, TRENT",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H2AZ07070,"GRIJALVA, RAUL M",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H2AZ07070,"GRIJALVA, RAUL M",C00325704,KUCINICH ACTION PAC,1,2012,S,151.95
H2AZ07070,"GRIJALVA, RAUL M",C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,1,2012,S,520.04
H8AZ01104,"KIRKPATRICK, ANN",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,21,2012,O,2354798.48
H8AZ01104,"KIRKPATRICK, ANN",C00503540,JAN PAC,1,2012,O,35567.15
H8AZ01104,"KIRKPATRICK, ANN",C00518191,LOCAL UNION NO. 469 OF THE UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING AND PIPEFITTING INDUSTRY OF THE U.S. & CANADA PAC (ARIZONA PIPE TRADES LOCAL 469 PAC),2,2012,S,28498.15
H8AZ01104,"KIRKPATRICK, ANN",C90011677,AMERICAN FUTURE FUND,4,2012,O,217618.54
H8AZ01104,"KIRKPATRICK, ANN",C90011685,THE 60 PLUS ASSOCIATION,1,2012,O,170000.0
H0AZ01259,"GOSAR, PAUL ANTHONY",C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,1,2012,O,3440.44
H0AZ01259,"GOSAR, PAUL ANTHONY",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,1.54
H0AZ01259,"GOSAR, PAUL ANTHONY",C00432260,CLUB FOR GROWTH PAC,1,2012,O,61.1
H0AZ01259,"GOSAR, PAUL ANTHONY",C00487470,CLUB FOR GROWTH ACTION,11,2012,O,593040.18
H0AZ01259,"GOSAR, PAUL ANTHONY",C00488338,AMERICAN DENTAL ASSOCIATION INDEPENDENT EXPENDITURES COMMITTEE,7,2012,S,151150.65
H0AZ01259,"GOSAR, PAUL ANTHONY",C00495028,HOUSE MAJORITY PAC,2,2012,O,8936.08
H4AZ06045,"SCHWEIKERT, DAVID",C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2,2012,O,12040.2
H4AZ06045,"SCHWEIKERT, DAVID",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,1.54
