Occupation and industry,2021,,,,,2022,,,,
,"Total
employed",Members of unions(1),,Represented by unions(2),,"Total
employed",Members of unions(1),,Represented by unions(2),
,,Total,Percent of employed,Total,Percent of employed,,Total,Percent of employed,Total,Percent of employed
,,,,,,,,,,
Total wage and salary workers,"136,393","14,012",10.3,"15,802",11.6,"141,673","14,285",10.1,"16,002",11.3
,,,,,,,,,,
OCCUPATION,,,,,,,,,,
"Management, professional, and related occupations","56,870","6,241",11.0,"7,177",12.6,"59,979","6,268",10.5,"7,202",12.0
"Management, business, and financial operations occupations","22,850","1,021",4.5,"1,244",5.4,"24,013",933,3.9,"1,168",4.9
Management occupations,"14,730",645,4.4,786,5.3,"15,693",603,3.8,747,4.8
Business and financial operations occupations,"8,120",376,4.6,458,5.6,"8,319",329,4.0,421,5.1
Professional and related occupations,"34,020","5,220",15.3,"5,933",17.4,"35,966","5,335",14.8,"6,034",16.8
Computer and mathematical occupations,"5,465",202,3.7,260,4.8,"5,948",195,3.3,248,4.2
Architecture and engineering occupations,"3,083",181,5.9,215,7.0,"3,335",200,6.0,231,6.9
"Life, physical, and social science occupations","1,535",153,10.0,190,12.4,"1,679",152,9.1,180,10.7
Community and social service occupations,"2,630",384,14.6,426,16.2,"2,749",436,15.9,495,18.0
Legal occupations,"1,518",89,5.8,103,6.8,"1,547",80,5.1,102,6.6
"Education, training, and library occupations","8,672","3,004",34.6,"3,353",38.7,"8,976","3,027",33.7,"3,347",37.3
"Arts, design, entertainment, sports, and media occupations","2,113",149,7.1,170,8.1,"2,352",187,8.0,215,9.2
Healthcare practitioners and technical occupations,"9,005","1,057",11.7,"1,217",13.5,"9,381","1,058",11.3,"1,216",13.0
Service occupations,"21,708","2,094",9.6,"2,314",10.7,"22,968","2,293",10.0,"2,502",10.9
Healthcare support occupations,"4,644",384,8.3,438,9.4,"4,777",395,8.3,442,9.3
Protective service occupations,"2,917",970,33.3,"1,036",35.5,"3,071","1,062",34.6,"1,126",36.7
Food preparation and serving related occupations,"7,178",222,3.1,254,3.5,"7,749",279,3.6,316,4.1
Building and grounds cleaning and maintenance occupations,"4,458",420,9.4,472,10.6,"4,595",438,9.5,484,10.5
Personal care and service occupations,"2,511",97,3.9,113,4.5,"2,776",118,4.3,133,4.8
Sales and office occupations,"27,651","1,702",6.2,"1,991",7.2,"27,804","1,674",6.0,"1,924",6.9
Sales and related occupations,"12,366",406,3.3,491,4.0,"12,183",361,3.0,434,3.6
Office and administrative support occupations,"15,285","1,296",8.5,"1,500",9.8,"15,621","1,313",8.4,"1,490",9.5
"Natural resources, construction, and maintenance occupations","11,911","1,777",14.9,"1,923",16.1,"12,180","1,736",14.3,"1,864",15.3
"Farming, fishing, and forestry occupations",931,37,4.0,43,4.7,910,39,4.3,43,4.7
Construction and extraction occupations,"6,528","1,119",17.1,"1,198",18.4,"6,831","1,120",16.4,"1,190",17.4
"Installation, maintenance, and repair occupations","4,451",621,14.0,681,15.3,"4,439",577,13.0,631,14.2
